"plotID","DBH","species","height","BAL","PC1_cat","plotID_PC1_cat"
"plot_2176",16.5,"PCAB",10.8,24.5775440524109,"1.54_1.81","plot_2176_1.54_1.81"
"plot_94",41.8,"PCAB",25.2,7.31908330881945,"1.54_1.81","plot_94_1.54_1.81"
"plot_94",40.8,"PCAB",25.8,14.0527700965506,"1.54_1.81","plot_94_1.54_1.81"
"plot_1778",43,"PCAB",21.7,14.3819056482485,"1.54_1.81","plot_1778_1.54_1.81"
"plot_1778",60.3,"PCAB",23.8,0,"1.54_1.81","plot_1778_1.54_1.81"
"plot_148",26.1,"PCAB",15.3,0,"1.54_1.81","plot_148_1.54_1.81"
"plot_1200",36,"PCAB",21.1,27.3702504325285,"1.54_1.81","plot_1200_1.54_1.81"
"plot_1200",21.4,"PCAB",16.4,25.571845717981,"1.54_1.81","plot_1200_1.54_1.81"
"plot_1200",15.9,"PCAB",14.5,34.5491063185207,"1.54_1.81","plot_1200_1.54_1.81"
"plot_1200",41.6,"PCAB",19.7,17.4189924368185,"1.54_1.81","plot_1200_1.54_1.81"
"plot_1200",50,"PCAB",21.1,0,"1.54_1.81","plot_1200_1.54_1.81"
"plot_1416",45.6,"PCAB",18,6.53038293884399,"1.54_1.81","plot_1416_1.54_1.81"
"plot_1416",10.5,"PCAB",4.4,38.3285955119709,"1.54_1.81","plot_1416_1.54_1.81"
"plot_1112",49,"PCAB",28.1,3.39433378257109,"1.54_1.81","plot_1112_1.54_1.81"
"plot_1112",27.9,"PCAB",25.6,6.54352123640094,"1.54_1.81","plot_1112_1.54_1.81"
"plot_1112",13,"PCAB",9.7,42.3051548490854,"1.54_1.81","plot_1112_1.54_1.81"
"plot_1112",46.9,"PCAB",31.3,9.60033015825198,"1.54_1.81","plot_1112_1.54_1.81"
"plot_1694",59.4,"PCAB",30.8,6.33542802951338,"1.54_1.81","plot_1694_1.54_1.81"
"plot_1694",69.5,"PCAB",33.8,0,"1.54_1.81","plot_1694_1.54_1.81"
"plot_1694",15.8,"PCAB",8.6,11.9560602425103,"1.54_1.81","plot_1694_1.54_1.81"
"plot_1694",11.9,"PCAB",8.3,12.936394230063,"1.54_1.81","plot_1694_1.54_1.81"
"plot_1016",44.1,"PCAB",25.4,15.4091889315933,"1.54_1.81","plot_1016_1.54_1.81"
"plot_1908",29.4,"PCAB",19,3.89582425436822,"1.54_1.81","plot_1908_1.54_1.81"
"plot_1908",16.1,"PCAB",14.6,48.8107685289706,"1.54_1.81","plot_1908_1.54_1.81"
"plot_1908",46.9,"PCAB",31.4,13.1912822449239,"1.54_1.81","plot_1908_1.54_1.81"
"plot_1908",36.4,"PCAB",25.6,39.6256876474052,"1.54_1.81","plot_1908_1.54_1.81"
"plot_1908",54.5,"PCAB",18.4,0,"1.54_1.81","plot_1908_1.54_1.81"
"plot_2084",29.1,"PCAB",18.8,0,"1.32_1.54","plot_2084_1.32_1.54"
"plot_2016",19.9,"PCAB",10.6,12.8997721347214,"1.32_1.54","plot_2016_1.32_1.54"
"plot_2016",17.7,"PCAB",11.8,18.8161764995944,"1.32_1.54","plot_2016_1.32_1.54"
"plot_2016",23.7,"PCAB",13.2,8.61664252054157,"1.32_1.54","plot_2016_1.32_1.54"
"plot_2016",28,"PCAB",13,0,"1.32_1.54","plot_2016_1.32_1.54"
"plot_2016",31,"PCAB",15.6,22.8170732837573,"1.32_1.54","plot_2016_1.32_1.54"
"plot_1346",70.1,"PCAB",39.1,14.210350970338,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",74,"PCAB",37.7,0,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",68.9,"PCAB",27.6,20.6556398666289,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",57.5,"PCAB",30.9,36.6272536011283,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",61.1,"PCAB",38.7,26.8821513921164,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",60.8,"PCAB",35.3,31.77868537567,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1346",50.2,"PCAB",34.8,41.8122068389522,"1.32_1.54","plot_1346_1.32_1.54"
"plot_1994",16.7,"PCAB",9.9,4.72224572733533,"1.32_1.54","plot_1994_1.32_1.54"
"plot_1994",23.7,"PCAB",13.1,0,"1.32_1.54","plot_1994_1.32_1.54"
"plot_198",46.5,"PCAB",28.4,16.3970187592175,"1.32_1.54","plot_198_1.32_1.54"
"plot_198",38.1,"PCAB",27.3,30.6840541998138,"1.32_1.54","plot_198_1.32_1.54"
"plot_198",38.9,"PCAB",27.8,26.7853443925933,"1.32_1.54","plot_198_1.32_1.54"
"plot_198",54.6,"PCAB",29.9,0,"1.32_1.54","plot_198_1.32_1.54"
"plot_198",33.2,"PCAB",23.4,41.0573467625635,"1.32_1.54","plot_198_1.32_1.54"
"plot_2150",62.2,"PCAB",34,3.23462306604422,"1.32_1.54","plot_2150_1.32_1.54"
"plot_1620",14.9,"PCAB",11.7,31.6909350379884,"1.32_1.54","plot_1620_1.32_1.54"
"plot_1620",15.2,"PCAB",10.2,30.7836430796317,"1.32_1.54","plot_1620_1.32_1.54"
"plot_1620",14.2,"PCAB",10.3,33.3770670850782,"1.32_1.54","plot_1620_1.32_1.54"
"plot_1620",12.4,"PCAB",9,37.1404594646298,"1.32_1.54","plot_1620_1.32_1.54"
"plot_1620",14.4,"PCAB",12,32.5627662692678,"1.32_1.54","plot_1620_1.32_1.54"
"plot_1422",65.1,"PCAB",29,0,"1.32_1.54","plot_1422_1.32_1.54"
"plot_1540",16.4,"PCAB",12,27.7039693322886,"1.32_1.54","plot_1540_1.32_1.54"
"plot_1540",17.1,"PCAB",12.7,26.5556779474933,"1.32_1.54","plot_1540_1.32_1.54"
"plot_1540",60,"PCAB",27.3,4.76914994127287,"1.32_1.54","plot_1540_1.32_1.54"
"plot_1540",23.1,"PCAB",13.7,14.5731359638688,"1.32_1.54","plot_1540_1.32_1.54"
